,Unnamed: 0,CellID,ClusterID,EventID,file_prefix,Region,TMA_AB,TMA_12,Index in File,groups,patients,spots,CD44 - stroma:Cyc_2_ch_2,FOXP3 - regulatory T cells:Cyc_2_ch_3,CD8 - cytotoxic T cells:Cyc_3_ch_2,p53 - tumor suppressor:Cyc_3_ch_3,GATA3 - Th2 helper T cells:Cyc_3_ch_4,CD45 - hematopoietic cells:Cyc_4_ch_2,T-bet - Th1 cells:Cyc_4_ch_3,beta-catenin - Wnt signaling:Cyc_4_ch_4,HLA-DR - MHC-II:Cyc_5_ch_2,PD-L1 - checkpoint:Cyc_5_ch_3,Ki67 - proliferation:Cyc_5_ch_4,CD45RA - naive T cells:Cyc_6_ch_2,CD4 - T helper cells:Cyc_6_ch_3,CD21 - DCs:Cyc_6_ch_4,MUC-1 - epithelia:Cyc_7_ch_2,CD30 - costimulator:Cyc_7_ch_3,CD2 - T cells:Cyc_7_ch_4,Vimentin - cytoplasm:Cyc_8_ch_2,CD20 - B cells:Cyc_8_ch_3,LAG-3 - checkpoint:Cyc_8_ch_4,Na-K-ATPase - membranes:Cyc_9_ch_2,CD5 - T cells:Cyc_9_ch_3,IDO-1 - metabolism:Cyc_9_ch_4,Cytokeratin - epithelia:Cyc_10_ch_2,CD11b - macrophages:Cyc_10_ch_3,CD56 - NK cells:Cyc_10_ch_4,aSMA - smooth muscle:Cyc_11_ch_2,BCL-2 - apoptosis:Cyc_11_ch_3,CD25 - IL-2 Ra:Cyc_11_ch_4,CD11c - DCs:Cyc_12_ch_3,PD-1 - checkpoint:Cyc_12_ch_4,Granzyme B - cytotoxicity:Cyc_13_ch_2,EGFR - signaling:Cyc_13_ch_3,VISTA - costimulator:Cyc_13_ch_4,CD15 - granulocytes:Cyc_14_ch_2,ICOS - costimulator:Cyc_14_ch_4,Synaptophysin - neuroendocrine:Cyc_15_ch_3,GFAP - nerves:Cyc_16_ch_2,CD7 - T cells:Cyc_16_ch_3,CD3 - T cells:Cyc_16_ch_4,Chromogranin A - neuroendocrine:Cyc_17_ch_2,CD163 - macrophages:Cyc_17_ch_3,CD45RO - memory cells:Cyc_18_ch_3,CD68 - macrophages:Cyc_18_ch_4,CD31 - vasculature:Cyc_19_ch_3,Podoplanin - lymphatics:Cyc_19_ch_4,CD34 - vasculature:Cyc_20_ch_3,CD38 - multifunctional:Cyc_20_ch_4,CD138 - plasma cells:Cyc_21_ch_3,cell_id:cell_id,tile_nr:tile_nr,x,y,X_withinTile:X_withinTile,Y_withinTile:Y_withinTile,Z:Z,size:size,HOECHST1:Cyc_1_ch_1,CDX2 - intestinal epithelia:Cyc_2_ch_4,Collagen IV - bas. memb.:Cyc_12_ch_2,CD194 - CCR4 chemokine R:Cyc_14_ch_3,MMP9 - matrix metalloproteinase:Cyc_15_ch_2,CD71 - transferrin R:Cyc_15_ch_4,CD57 - NK cells:Cyc_17_ch_4,MMP12 - matrix metalloproteinase:Cyc_21_ch_4,DRAQ5:Cyc_23_ch_4,Profile_Homogeneity:Fiter1,ClusterSize,cell_type,neighborhood10,CD4+ICOS+,CD4+Ki67+,CD4+PD-1+,CD68+CD163+ICOS+,CD68+CD163+Ki67+,CD68+CD163+PD-1+,CD68+ICOS+,CD68+Ki67+,CD68+PD-1+,CD8+ICOS+,CD8+Ki67+,CD8+PD-1+,Treg-ICOS+,Treg-Ki67+,Treg-PD-1+,neighborhood number final,neighborhood name
15392,15392,15392,10668,173826,reg043_B,reg043,B,2,1078,2,22,43_B,971.4385376,926.8615112,691.8308716,1337.553345,107.0313034,0.532543898,809.1789551,2377.244385,0.0,165.6663513,9.556999207,171.9427795,189.1074219,73.50079346,16.10207939,179.14350890000003,98.98633575,389.9998169,0.0,86.15010834,0.0,1015.465393,239.74162290000004,1.209004998,5813.21582,1370.637085,0.0,35.98554993,430.9812012,107.953804,300.2975159,0.0,959.3690796,284.8073425,149.17875669999998,8.817229271,0.0,36.36779785,0.0,75.30306244,0.165182918,9.831315994,2875.449951,595.5536499,147.3874054,6.7826781270000005,602.9363403,180.7385406,0.0,2614,43,178,85,928,1085,8,12302,2246.908447,319.0246887,0.0,2502.788574,0.225021392,2188.768555,36.55282593,9.123433113,2299.417725,5.483619213,22144,granulocytes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45833,45833,45833,10663,173722,reg043_B,reg043,B,2,974,2,22,43_B,434.9204102,417.7862244,299.04040530000003,794.1044312000001,28.88619041,2.032441854,387.0396729,1677.8925780000002,2.0097274780000003,319.181366,15.36043262,291.45281980000004,199.4199066,19.27031326,43.6004982,78.40815735,15.09509468,560.1359252999999,0.031035841,24.87974548,0.0,113.9396744,75.51805115,10.82267189,447.6458435,235.8341522,2.444545984,59.35035706,67.0515213,86.08203888,100.1077423,0.007597636,370.4777832,40.27532959,0.749913037,0.0,1.592318773,50.6169014,0.509272993,0.0,0.0,0.0,2466.086182,60.69367218,8.607061386,0.0,562.6668701,6.319584846000001,0.02413656,2395,43,114,134,864,1134,14,630,308.6481628,271.29522710000003,4.039566993999999,1396.7553710000002,0.3788567779999999,1588.442749,0.0,0.0,524.2442627,5.8883972170000005,16661,CD4+ T cells CD45RO+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82310,82310,82310,10666,173550,reg043_B,reg043,B,2,802,2,22,43_B,94.16020203,97.21738434,102.1667709,616.6558838,44.13846588,1.894901156,138.81715390000002,1497.537109,1.924952745,70.77048492,390.4909058,99.25259399,71.86232758,39.62276077,9.714997292,98.0933075,54.87411118,83.43962859999999,0.00500095,51.76079559,0.0,468.9429016,140.307663,0.0,595.6883545,311.569458,0.675283372,38.23131943,117.9925995,97.13710785,179.6551361,0.0,441.6398621,122.8731842,0.029145446,7.79526186,1.743036866,45.69742203,0.237326518,36.79126358,0.000261,14.21307755,0.0,94.58815765,0.100348309,4.379456043,27.79598808,62.18196869,0.014859135,2051,43,0,142,750,1142,10,5703,1491.806885,413.5569458,0.942812264,1129.248535,0.058881462,1234.876709,28.77552032,10.97816086,1444.0466310000002,5.40096426,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82314,82314,82314,10666,173591,reg043_B,reg043,B,2,843,2,22,43_B,312.64978030000003,407.0750427,92.75237274,2295.993896,45.02868271,0.0,642.3176269999999,2065.2583010000003,0.0,0.0,156.0224762,0.0,0.0,33.15228653,0.0,0.0,43.09070587,0.0,0.0,43.60883713,19.27330971,1300.241699,195.8870697,0.0,1023.895691,266.5404358,0.0,0.0,64.32521820000001,0.0,190.2233276,0.0,1516.342163,123.2038422,0.0,2.623066187,0.0,0.0,0.0,38.72784424,0.0,0.0,326.26205439999995,18.14808464,0.0,1.592457414,0.0,43.66007614,0.0,2130,43,15,153,765,1153,10,10741,1098.229126,352.71896360000005,0.0,1983.203003,0.0,1348.2241210000002,20.19667435,3.5957221980000003,1315.278442,4.9970426560000005,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82317,82317,82317,10666,173649,reg043_B,reg043,B,2,901,2,22,43_B,443.6872559,441.8010864,428.6877747,1122.606445,59.93599701,43.24563599,746.6859131,2208.147217,48.574543,277.7998047,0.0,360.08078,256.4552307,50.99251175,101.6275253,224.2939758,70.80521393,248.2129517,0.47355336,64.76021576,4.815608501,1471.89978,208.9662476,258.6211548,1363.606567,394.9448547,26.80887794,161.12593080000002,155.40228269999997,246.3265228,250.39392090000004,0.12186031,1434.202637,197.363327,2.611661434,14.66842937,25.23864555,184.6270752,11.48091412,57.87321472,0.001321471,2.936689854,0.0,0.0,4.77545929,10.73328209,147.8496399,90.96698761,0.376170874,2237,43,65,115,815,1115,10,9251,778.9257812999999,474.4370728,25.55582428,3837.262695,7.170083046,2162.688965,25.25401688,16.60011673,1145.111938,5.028460503,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82322,82322,82322,10666,173720,reg043_B,reg043,B,2,972,2,22,43_B,503.4448853,730.0794067,57.96615601,2995.323975,75.6217041,1.100888252,1178.273071,3676.411621,0.0,0.0,23.5904541,0.0,0.0,42.17375946,469.5032349,0.0,74.83847046,0.0,0.029675635,75.77879333,1.423141599,2401.270508,378.7469177,46.76270676,1597.946045,1106.1408689999998,1.019855976,0.0,407.8295593,0.0,345.71975710000004,0.010643207,1931.452148,300.07858280000005,1.657518268,4.071415424,1.142277241,0.0,0.312814146,57.35519409,0.020359972,29.86631393,0.0,0.0,0.0,1.200507402,0.0,46.57372284,0.022279643,2389,43,115,177,865,1177,10,2738,2000.897583,998.8026733,1.562314868,3893.336914,0.332191229,3014.354004,35.9742012,6.876948832999999,1817.643677,5.927944182999999,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82325,82325,82325,10666,173751,reg043_B,reg043,B,2,1003,2,22,43_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3471.119873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.062866,444.5718994,0.0,675.5271606000001,705.0545043999999,0.0,0.0,90.76254272,0.0,202.1849518,0.0,178.7906189,114.5132217,9.78110981,0.0,0.0,0.0,0.0,0.0,1.309660912,0.0,137.963028,297.8672791,3.101817369,0.0,0.0,0.0,0.0,2455,43,142,43,892,1043,8,769,1737.043701,274.2862854,0.0,2485.53418,0.0,2800.40625,0.0,0.0,1249.8186039999998,5.449528694,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82327,82327,82327,10666,173755,reg043_B,reg043,B,2,1007,2,22,43_B,289.0780945,300.89041139999995,135.7654572,566.5899658,41.63923264,14.4387207,434.4094543000001,2190.137207,16.697855,87.46253967,28.33697891,100.1108398,65.5057373,34.37415695,83.37970734,32.44841766,42.87937546,623.6384277000001,0.015052373,38.38291168,2.476716995,678.6213989,208.2753754,70.81880188,766.678772,458.7105713,19.0382328,36.60078812,108.81333159999998,68.84209442,207.380127,0.002350278,895.0554810000001,146.23902890000002,3.730672836,5.763903618,3.370765448,61.26621246,1.281762958,30.10566902,0.019901194,23.34199715,1857.324829,189.3490906,243.2561798,3.20886898,341.5696716,99.36736298,0.009785143,2466,43,131,117,881,1117,8,9757,920.3840942,314.4496155,7.113406658,2770.931885,0.752362967,2056.941406,15.06808949,8.246947289,1023.135559,4.764690399,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82332,82332,82332,10666,173768,reg043_B,reg043,B,2,1020,2,22,43_B,0.0,0.0,0.0,647.5362549,32.89658356,0.0,57.18165588,4202.777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97874165,0.0,0.30619064,19.2525425,0.0,1159.178223,457.7171021000001,0.0,1670.194092,967.5247192,1.184015155,0.0,463.8149109,0.0,375.368042,0.063915335,2157.729736,307.5448914,7.470786572000001,0.0,0.337349594,0.0,0.630131483,23.81041908,0.438999832,0.0,0.0,347.10211180000005,4.213635445,0.0,0.0,59.64187241,0.1268995259999999,2498,43,141,13,891,1013,7,1416,1515.83374,667.2113037,0.6267868879999999,5634.484375,0.7123240829999999,4297.594727000001,0.0,0.0,1257.4313960000002,5.523827552999999,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82336,82336,82336,10666,173815,reg043_B,reg043,B,2,1067,2,22,43_B,178.4110718,229.2881927,102.5738373,1014.543518,56.2606163,0.0,285.71228030000003,1704.3460690000002,0.0,6.734078407,3.658392668,0.0,0.0,11.03217602,0.0,11.07614708,31.05189896,32.51143646,0.0,31.05158997,0.0,1129.778198,175.1910248,0.0,678.2052612000001,275.7869568,0.0,0.0,0.0,0.0,158.8110352,0.0,584.2878417999999,116.2409439,0.5090855360000001,0.566249609,0.0,0.0,0.0,29.36421585,0.0,0.0,0.0,37.42831039,4.948117256000001,0.982076049,17.86187363,13.280159,0.0,2594,43,180,164,930,1164,8,1302,1238.379761,385.0187073,0.0,3083.2495120000003,0.0,1225.692627,14.05607796,2.154884815,979.4832153,5.684831142,47602,tumor cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
